,Title,Artist,Time
0,Filhall,B Praak, 04:16 
1,Yaad Piya Ki Aane Lagi,Neha Kakkar, 04:16 
2,Ankhiyon Se Goli Mare,Mika Singh, 03:26 
3,Intezaar,Mithoon, 04:27 
4,Naah Goriye,B Praak, 03:04 
5,Dheeme Dheeme,Tony Kakkar, 02:57 
6,Tum Par Hum Hai Atke,Neha Kakkar, 02:58 
7,Munna Badnaam Hua,Badshah, 04:06 
8,Chandigarh Mein,Badshah, 03:26 
9,Dilbara,Sachet Tandon, 04:07 
10,Sauda Khara Khara,Diljit Dosanjh, 03:32 
11,Shaitan Ka Saala,Sohail Sen, 02:27 
12,Ek Toh Kum Zindagani,Neha Kakkar, 03:10 
13,Naagin,Vayu, 02:38 
14,Tu Mileya,Darshan Raval, 03:14 
15,Rula Ke Gaya Ishq,Stebin Ben, 04:08 
16,Thodi Jagah,Arijit Singh, 03:38 
17,Pachtaoge,Arijit Singh, 03:47 
18,Gal Karke,Asees Kaur, 02:37 
19,Kinna Sona,Meet Bros., 04:33 
20,Ghungroo,Arijit Singh, 05:03 
21,Tu Hi Yaar Mera,Rochak Kohli, 03:20 
22,Pal Pal Dil Ke Paas - Title Track,Arijit Singh, 04:15 
23,Ishq Saaf,Kumar Sanu, 03:55 
24,Ishq Tera,Guru Randhawa, 03:32 
25,Choodiyan,Dev Negi, 02:56 
26,Ek Chumma,Sohail Sen, 04:04 
27,Jai Jai Shivshankar,Vishal Dadlani, 03:51 
28,Ruka Ruka,Shalmali Kholgade, 04:06 
29,Khairiyat,Arijit Singh, 04:40 
30,Odhani,Sachin-Jigar, 03:15 
31,Don't Be Shy Again,Sachin-Jigar, 02:43 
32,Naagin Jaisi Kamar Hila,Tony Kakkar, 01:53 
33,Yu Karke,Salman Khan, 03:45 
34,Tera Baap Aaya,Farhad Bhiwandiwala, 02:46 
35,The Naari Naari Song,Vishal Dadlani, 03:16 
36,Jhalak Dikhla Jaa Reloaded,Himesh Reshammiya, 02:27 
37,Haiya Ho,Tulsi Kumar, 02:50 
38,Hud Hud,Shabab Sabri, 04:25 
39,Bimar Dil,Asees Kaur, 05:00 
40,Outfit,Guru Randhawa, 02:41 
41,Naina Lade,Javed Ali, 04:49 
42,Raanjhana,Arijit Singh, 04:34 
43,Baashinda,Arko, 
44,Maana Dil,B Praak, 03:56 
45,Kamaal,Badshah, 02:58 
46,Aawara Shaam Hai,Piyush Mehroliyaa, 04:41 
47,Bad Boy,Badshah, 02:59 
48,Dil Ka Telephone,Meet Bros., 03:30 
49,Mummy Nu Pasand,Sunanda Sharma, 03:04 
